原大小	现大小	压缩率	压缩时间
121024	29320	0.7577	0.03
155943	39099	0.7493	0.03
229354	57452	0.7495	0.04
38770	9806	0.7471	0.01
66495	16737	0.7483	0.02
73308	18440	0.7485	0.02
56737	14298	0.7480	0.02
186609	46766	0.7494	0.04
357890	98315	0.7253	0.06
2276656	640392	0.7187	0.38
12740554	3525976	0.7232	1.91
2183814	597465	0.7264	0.32
4762499	1337807	0.7191	0.94
7884553	2173858	0.7243	1.34
9480515	2641591	0.7214	1.43
2343502	722440	0.6917	0.42
6146627	1720798	0.7200	1.01
3524470	985920	0.7203	0.54
316613	79267	0.7496	0.06
191737	48048	0.7494	0.04
